"ID_FAMILIA";"NU_CODIGO_FAMILIA_CBO";"TE_COND_GERAL_EXERC";"TE_DESCRICAO_SUMARIA";"TE_FORMACAO_EXPER";"TE_GLOSSARIO";"TE_NOTAS";"NM_TITULO_FAMILIA"
77;"0312";"Trabalham no corpo de bombeiros militar. Podem trabalhar em locais fechados, abertos ou em veículos, em períodos diurnos, noturnos e em plantões. O exercício do trabalho pode ser presencial ou a distância. Trabalham sob supervisão ";"Realizam resgates e salvamentos; combatem incêndios;  previnem acidentes e sinistros; preparam-se para ocorrências.  Atendem ocorrências com produtos perigosos.  Trabalham conforme normas e procedimentos técnicos, de segurança e preservação do meio ambiente. Estabelecem comunicação, criando e transmitindo informações, transmitindo e recebendo mensagens.";"O exercício profissional requer ensino médio. A profissionalização ocorre no próprio local de trabalho, após treinamento com carga horária superior a quatrocentas horas-aula.";"";"";"Cabos e soldados do corpo de bombeiros militar"
377;"2011";"O trabalho é exercido em ambientes fechados e controlados de laboratórios de serviços e pesquisa na área de saúde e em complexos hospitalares de excelência, na fabricação de equipamentos e instrumentos, de produtos quím";"Manipulam material genético, sintetizando sequências de dna, construindo vetores, modificando genes 'in vivo' e 'in vitro', manipulando expressão gênica e gerando organismos geneticamente modificados. Analisam genoma, sequenciado-o, identificando genes e marcadores genéticos; aplicam técnicas de reprodução e multiplicação de organismos; produzem compostos biológicos e desenvolvem equipamentos, dispositivos e processos de uso biológico. Elaboram projetos de pesquisa em biotecnologia e bioengenharia.";"Essas ocupações são exercidas por pessoas com formação universitária, geralmente pós-graduadas, após três ou quatro anos de exercício profissional, sob supervisão ocasional de profissional experimentado nas å";"ADN: sigla de ácido desoxirribonucleico. Sigla em inglês DNA.   ARN: ácido ribonucleico. Sigla em inglês RNA. DNA: desoxyribonucleic acid. RNA: sigla em inglês para ribonucleic acid. Genes: sequência de DNA; código para um ";"(1); Na CIUO 88 não existe codificação específica para os profissionais da biotecnologia. Por aproximação, podem ser classificados na família 2211 - Biólogos, botânicos, zoólogos e afins (2); Os técnicos de nÃ";"Profissionais da biotecnologia"
382;"2012";"Esses trabalhadores atuam em áreas de pesquisa e  desenvolvimento, fabricação de máquinas e equipamentos, aparelhos e materiais, equipamentos de instrumentação e outras atividades empresariais. São empregados com carteira assin";"Realizam calibrações, ensaios e medições, asseguram rastreabilidade à medição, produzem padrão e materiais de referência, realizam pesquisa e desenvolvimento em metrologia; projetam, gerenciam e avaliam laboratórios de metrologia. Elaboram documentos técnicos e disseminam conhecimentos metrológicos.";"Para ingressar nessas ocupações requer-se  curso superior completo em  Física, Engenharia, Engenharia têxtil, Administração, dentre outros, seguido de curso de especialização em Metrologia com duração entre duzentas";"Cadeia de medição: padrões, instrumentos e métodos. Grandezas de influência: vibração, temperatura, ventilação etc., ou seja, parâmetros externos que alteram o meio e a grandeza medida.  Rastreabilidade: o que forne";"";"Profissionais da metrologia"
392;"2030";"Trabalham em empresas e instituições de pesquisas públicas ou privadas e em universidades,  nas áreas de saúde humana, animal e vegetal e em pesquisa  e desenvolvimento. O trabalho é desenvolvido, na maioria das vezes, em equipe mu";"Os profissionais desta família desenvolvem atividades de pesquisa em ciências biológicas, elaboram projetos, coordenam equipes , coletam, tratam  e analisam material biológico , dados e informações, geram conhecimentos, métodos e técnicas e divulgam resultados de pesquisa. Podem prestar serviços de assessoria e consultoria técnica e científica , como também podem dar aulas, planejar cursos e eventos científicos.";"As ocupações requerem do profissional o curso superior completo, bem como  cursos de pós-graduação e especialização, principalmente em Ciências biológicas e áreas afins. É comum  o ingresso e a progressão na";"";"No mercado de trabalho é comum ocorrerem casos de profissionais  que exercem, concomitantemente, funções de pesquisador e de  professor universitário. Para a codificação desses casos considerar as atividades principais. ";"Pesquisadores das ciências biológicas"
397;"2031";"Os profissionais da família atuam, principalmente,  em pesquisa e desenvolvimento e no ensino, geralmente em universidades e instituições de pesquisas públicas ou privadas. Desenvolvem suas atividades em equipes e seu vínculo de trabal";"Desenvolvem pesquisas científicas em ciências naturais e exatas tais como, computação e informática, meio ambiente, química, física e matemática, coletando, analisando e tratando  dados físicos, químicos, biológicos, culturais e de fontes secundárias. Criam metodologias, técnicas, equipamentos e ferramentas para pesquisa com a realização de experimentos e a construção de modelos e teorias. Elaboram projetos e coordenam atividades de pesquisa, formam recursos humanos, disseminam conhecimentos científicos. Podem prestar serviços de consultoria, realizar avaliações em p&d, bem como dar aulas.";"Os titulares dessas ocupações detêm escolaridade mínima de nível superior completo e é comum apresentarem formação pós-universitária. A experiência anterior exigida pode variar conforme o local do exercício ";"";"No mercado de trabalho é comum ocorrerem casos de profissionais que exercem, concomitantemente, as funções de pesquisador e professor universitário. Para a codificação desses casos considerar as atividades principais. ";"Pesquisadores das ciências naturais e exatas"
402;"2032";"Os profissionais atuam, principalmente, em universidades públicas ou em centros de pesquisas vinculados a grandes empresas públicas, em diversas áreas como, por exemplo, em pesquisa e desenvolvimento, ensino, administração pública,";"Desenvolvem materiais, produtos, processos e métodos relacionados à engenharia e tecnologia, projetando e especificando equipamentos, protótipos e plantas-piloto e testando protótipos, materiais, processos e parâmetros de operação de plantas-piloto. Participam da qualificação, certificação e homologação de laboratórios e produtos. Planejam e executam pesquisas, gerenciam informações de c&t. Podem também prestar serviços de consultoria técnica, bem como  dar aulas.";"As ocupações da família requerem como escolaridade mínima o superior completo, sendo frequente profissionais com cursos de pós-graduação e especialização. Normalmente são engenheiros e profissionais com conhecim";"";"No mercado de trabalho é comum ocorrerem casos de profissionais que exercem, concomitantemente, funções de pesquisador e professor universitário. Para a codificação desses casos considerar as atividades principais.";"Pesquisadores de engenharia e tecnologia"
407;"2033";"Atuam em pesquisa básica e experimental, em desenvolvimento experimental e também no ensino. Geralmente  são empregados  com carteira assinada. Trabalham predominantemente em instituições de pesquisa, em universidades  e em grandes emp";"Os profissionais desta família desenvolvem pesquisas em ciências da saúde, nas áreas de clínica médica,  medicina básica,  medicina veterinária e em saúde coletiva e, para tanto, elaboram e planejam projetos de pesquisa, formam recursos humanos em pesquisa e divulgam resultados e informações. Podem prestar  assistência comunitária , orientar políticas públicas e prestar assessorias na área das ciências da saúde. Podem também ministrar aulas.";"O exercício ocupacional requer curso superior completo na área de ciências da saúde, sendo frequentes as titulações de especialistas, mestres, doutores. O tempo mínimo de experiência em pesquisa para atingir a titularid";"Medicina básica: anatomia, citologia, fisiologia, genética, farmácia, farmacologia, toxicologia, imunologia, imuno hematologia, química clínica,  microbiologia clínica, patologia. Clínica médica: anestesiologia, pediatria, gi";"No mercado de trabalho é comum ocorrerem casos de profissionais que exercem, concomitantemente, funções de pesquisador e de professor universitário. Para a codificação desses casos, considerar as atividades principais. ";"Pesquisadores das ciências da saúde"
412;"2034";"Trabalham nas esferas pública e privada, em instituições de pesquisa, empresas e universidades, principalmente nos setores agropecuário, de pesca e aquicultura e silvicultura, inseridos em equipe multidisciplinar, cujos membros  podem ";"Executam projetos de pesquisa e desenvolvimento tecnológico em agricultura, pesca, aquicultura, zootecnia e ciências florestais, implantando experimentos e unidades de observação, acompanhando a execução das atividades, realizando medições, pesagens, contagens e diagnósticos. Organizam e analisam os dados coletados. Elaboram e planejam  projetos de pesquisa e divulgam informações. Formam recursos humanos, podem prestar serviços de assessoria, de consultoria e ministrar aulas.   ";"A escolaridade mínima exigida é a formação  superior completa na área, sendo frequente profissionais com cursos de pós-graduação. De uma forma geral, o ingresso na carreira  pode se dar como auxiliar ou assistente de pe";"Eventos de divulgação: dias de campo, cursos técnicos, visitas técnicas, unidades de demonstração, unidades de observação. Unidade de experimentação ou observação:  tanque de peixe, baía de suíno, viveir";"No mercado de trabalho é comum ocorrerem casos  de profissionais que exercem, concomitantemente, funções de pesquisador e de professor universitário. Para a codificação desses casos considerar as atividades principais.  ";"Pesquisadores das ciências da agricultura"
417;"2035";"Atuam em uma grande gama de atividades econômicas, dentre as quais os serviços sociais e de saúde, a administração pública, as atividades recreativas, esportivas e culturais, a pesquisa e desenvolvimento, o ensino. Costumam trabalh";"Formulam objeto de estudo e pesquisa sobre relações humanas e sociais nas áreas das ciências  sociais e humanas. Realizam procedimentos para coleta, tratamento, análise de dados e informações  e disseminam resultados de pesquisa. Planejam e coordenam atividades de pesquisa. Podem dar aulas.";"As ocupações requerem, para o seu exercício, no mínimo o curso universitário completo e mestrado  ou cursos de especialização nas áreas  de conhecimento abrangidas nesta família, quais sejam: Filosofia, História, Ps";"";"No mercado de trabalho é comum ocorrerem casos de profissionais que exercem concomitantemente, funções de pesquisador  e professor universitário. Para a codificação desses casos considerar as atividades principais. ";"Pesquisadores das ciências sociais e humanas"
422;"2041";"Esses profissionais atuam nas áreas ligadas à administração pública, defesa e seguridade social. São assalariados e se organizam em equipe. Trabalham com supervisão ocasional, em ambiente fechado, a céu aberto e em veíc";"Elaboram laudo pericial criminal, organizando provas e determinando as causas dos fatos. Examinam locais de crime, buscando evidências, selecionando e coletando indícios materiais e encaminhando peças para exames com ou sem quesitos. Reconstituem fatos, analisam peças, materiais, documentos e outros vestígios relacionados a crimes, fotografando e identificando as peças e materiais e definindo tipo de exame. Efetuam medições e ensaios laboratoriais, utilizando e desenvolvendo técnicas e métodos científicos.";"O acesso à ocupação é feito por concurso público, que requer curso superior completo. Em seguida, devem cursar e ser aprovados no Curso de Formação de Peritos Criminais.";"DNA: sigla em inglês para ácido desoxirribonucléico. ";"";"Peritos criminais"
427;"2111";"Os profissionais da Matemática aqui descritos são entendidos como Matemáticos aplicados que atuam no setor produtivo de empresas privadas e na administração pública. Trabalham de forma individual e em equipe multidisciplinar,  sem ";"Elaboram modelos matemáticos e lógicos, identificando problemas e situações de interesse, selecionando métodos e técnicas, criando métodos, descrevendo modelos em linguagem matemática, processando simulações computacionais, validando, documentando, implementando e refinando modelos. Realizam atividades de pesquisa em matemática, tratam dados e informações, desenvolvem produtos e sistemas, executam auditoria atuarial. Podem dar aulas e prestar consultorias técnicas.";"O acesso às ocupações é dado por formação de nível superior, sendo comum profissionais portadores de títulos de especialização, mestrado ou doutorado.  ";"Resultados : referem-se a teoremas, corolários e teorias etc. Conjectura: o mesmo que hipótese, mas entre os matemáticos este é o termo recorrente.  Reservas Técnicas : reserva obrigatória para honrar benefícios futuros associa";"É comum encontrar no mercado de trabalho casos de profissionais da matemática que também são professores em diversos níveis de ensino. Para codificá-los, considerar as atividades principais.";"Profissionais da matemática"
432;"2112";"Atuam em três grandes áreas da estatística: a industrial, a aplicada às ciências biológicas e da saúde e a aplicada às ciências humanas e sociais. No exercício das suas atividades se utilizam da estatística como";"Desenham amostras; analisam e processam dados; constroem instrumentos de coleta de dados; criam banco de dados; desenvolvem sistemas de codificação de dados; planejam pesquisa; comunicam-se oralmente e por escrito.";"Para o acesso às ocupações requer-se curso superior completo, sendo desejável curso superior de tecnologia (tecnólogo);, cursos de especialização ou de pós-graduação. O exercício pleno das atividades, em méd";"";"É comum encontrar no mercado de trabalho casos de profissionais da estatística que também são  professores em diversos níveis de ensino. Para codificá-los considerar as atividades principais.";"Profissionais de estatística"
437;"2122";"Ao projetar e desenvolver sistemas computacionais, trabalham tanto na área de software quanto na área de hardware, incluindo robótica. Podem ser encontrados, por exemplo, em indústrias químicas, de material de transporte, de máquina";"Projetam soluções em tecnologia da informação, identificando problemas e oportunidades, criando protótipos,  validando novas tecnologias e projetando aplicativos em linguagem de baixo, médio e alto nível.  Implementam soluções em tecnologia da informação, gerenciam ambientes operacionais, elaboram documentação, fornecem suporte técnico e organizam treinamentos a usuários.";"Para o acesso às ocupações requer-se curso superior completo de Engenharia da computação ou área afim. Podem ser portadores de certificações homologadas por instituições reconhecidas pelo mercado e/ou títulos de";"Linguagem de programação de alto nível: linguagem de computador (fortran, cobol etc.); que visa facilitar a codificação e cujas instruções correspondem, cada uma, a diferentes instruções de linguagem de máquina (Dic";"É possível encontrar no mercado de trabalho casos de engenheiros em computação que também são professores ou realizam pesquisas. Para codificá-los considerar as atividades principais. ";"Engenheiros em computação"
452;"2131";"Os profissionais podem trabalhar em várias atividades econômicas como, por exemplo, saúde, fabricação de coque, refino de petróleo, produção de combustíveis, inclusive nucleares, fabricação de  material eletrÃ";"Aplicam princípios, conceitos e métodos da física em atividades específicas, aplicam técnicas de radiação ionizante e não ionizante em ciências da vida, radiação na agricultura e conservação de alimentos e podem  operar reatores nucleares e equipamentos emissores de radiação. Desenvolvem fontes alternativas de energia, projetam sistemas eletrônicos, ópticos, de telecomunicações e outros sistemas físicos. Realizam medidas de grandezas físicas, desenvolvem programas e rotinas computacionais e elaboram documentação técnica e científica.";"As ocupações exigem para seu exercício, pelo menos, o curso superior completo, sendo frequente a presença de profissionais com titulações de pós-graduação e cursos de especialização. O exercício pleno da";"Ionização: técnicas que trabalham com o átomo ou grupamentos de átomos com excesso ou com falta de carga elétrica negativa. ";"São comuns casos de profissionais da física que, concomitantemente, exercem funções de professores e/ou pesquisadores. Para codificá-los considerar as atividades principais.";"Físicos"
462;"2133";"Devido às suas características de pesquisas, o Astrônomo atua apenas em instituições públicas como institutos de pesquisa e universidades. O Meteorologista e o Geofísico espacial podem atuar tanto na iniciativa privada, em empr";"Realizam pesquisas científicas para prognosticar fenômenos meteorológicos, astronômicos e de geofísica espacial; obtém e tratam dados; disseminam informações por meio de trabalhos, teses, publicações, eventos etc.; Desenvolvem sistemas computacionais, instrumentação científica e gerenciam projetos nas suas áreas.";"Para o exercício dessas ocupações requer-se curso superior completo e experiência profissional que varia de um a dois anos para o Meteorologista, de três a quatro anos para o Geofísico espacial e mais de cinco anos para o Astrô";"Programas computacionais: de controle instrumental, de simulação e de tratamento e análise de dados experimentais.  Dados astronômicos: imagens de detectores digitais de espectros de galáxias, nebulosas, estrelas. Séries temporais ";"";"Profissionais das ciências atmosféricas e espaciais e de astronomia"
464;"2134";"O trabalho é exercido principalmente em atividades econômicas de extração de carvão mineral, petróleo e gás e de minerais em geral, e, mais recentemente, na proteção ambiental e nos estudos relativos à água. Qua";"Realizam levantamentos geológicos e geofísicos coletando, analisando e interpretando dados, gerenciando amostragens, caracterizando e medindo parâmetros físicos, químicos e mecânicos de materiais geológicos, estimando geometria e distribuição espacial de corpos e estruturas geológicas, elaborando mapas e relatórios técnicos e científicos. Prospectam e exploram recursos minerais, pesquisam a natureza geológica e geofísica de fenômenos, efetuam serviços ambientais e geotécnicos, planejam  e controlam serviços de geologia e geofísica. Podem prestar serviços de assessoria e consultoria.";"As ocupações da família requerem o curso superior completo ou de curta duração - tecnólogo. É comum a presença de profissionais com pós-graduação e cursos de especialização. O exercício pleno das ati";"Amostra: parte ou fração representativa de determinado corpo rochoso, destinada a indicar qualitativa e quantitativamente, indícios sobre a gênese, os processos evolutivos, a composição, as estruturas e os ambientes de formaç";"Podem ocorrer casos de geólogos e geofísicos que também exercem funções de professor ou pesquisador. Para codificá-los considerar as atividades principais.";"Geólogos, oceanógrafos, geofísicos e afins"
470;"2141";"O trabalho é exercido em atividades econômicas como a da construção civil, de empresas imobiliárias, industriais e de serviços, na condição  de empregado ou autônomo, prestando serviços. São mais frequenteme";"Elaboram planos e projetos associados à arquitetura em todas as suas etapas, definindo materiais, acabamentos, técnicas, metodologias, analisando dados e informações. Fiscalizam e executam obras e serviços, desenvolvem estudos de viabilidade financeira, econômica, ambiental. Podem prestar serviços de consultoria e assessoramento, bem como estabelecer políticas de gestão.";"Para o exercício das ocupações exige-se o curso superior completo em arquitetura e urbanismo, com ocorrência de profissionais com cursos de especialização e/ou pós-graduação.";"";"Podem ocorrer casos de arquitetos que exercem também funções de professor no ensino superior. Para codificá-los, considerar as atividades principais.  Lei nº 5.194, de 24 de dezembro de 1966 - regula o exercício das profissões ";"Arquitetos e urbanistas"
510;"2148";"Os profissionais podem trabalhar em áreas, tais como: agricultura e pecuária, silvicultura e exploração florestal, construção, extração de minerais  metálicos, administração pública. Podem trabalhar em empre";"Realizam atividades em topografia, geodésia e batimetria, levantando e calculando pontos topográficos e geodésicos. Elaboram documentos cartográficos, estabelecendo semiologia e articulação de cartas, efetuam levantamentos por meio de imagens terrestres, aéreas e orbitais. Gerenciam projetos e obras de agrimensura e cartografia. Assessoram na implantação de sistemas de informações geográficas, implementam projetos geométricos. Podem pesquisar novas tecnologias.";"Para o exercício das ocupações requer-se curso de Engenharia, nas áreas de agrimensura e cartografia, com registro no CREA. O mercado de trabalho, atualmente, tem valorizado profissionais com cursos de especialização e pós-grad";"";"Há Engenheiros agrimensores  e Engenheiros cartógrafos que também exercem funções de professor universitário ou pesquisador. Para codificá-los considerar as atividades principais.  Norma Regulamentadora: Lei nº 5.194, de 24";"Engenheiros agrimensores e engenheiros cartógrafos"
520;"2151";"O Capitão de longo curso pode tripular qualquer tipo de embarcação e de qualquer bandeira, como Comandante, Imediato ou Oficial de quarto de navegação.  O Capitão de cabotagem pode comandar embarcações nacionais de qualquer";"Comandam, imediatam e tripulam embarcações na navegação de longo curso, cabotagem e apoio marítimo, coordenam operações de navegação de apoio portuário e águas interiores. Navegam e orientam a navegação; operam com cargas; transportam passageiros e manobram embarcações. Gerenciam pessoal e supervisionam operações, gerenciam material e documentação de bordo. Ministram treinamento e formam aquaviários, realizam atividades de inspeção e vistoria naval, trabalhando de acordo com normas, regulamentos, convenções nacionais e internacionais de segurança e preservação do meio ambiente e saúde ocupacional. Coordenam manutenção e podem realizar manutenção a bordo.";"O acesso ao trabalho requer bacharelado em Ciências Náuticas em uma das escolas da Marinha Mercante: Centro de Instrução Almirante Graça Aranha (Ciaga); no Rio de Janeiro e Centro de Instrução Almirante Braz de Aguiar (Ciaba);,";"Arqueação bruta: capacidade de um navio para carga, em relação ao peso e ao volume. GMDSS: Global Maritime Distress Safety System STCW95: Standards of Training, Certification and Watchkeeping for Seafarers-95, regulamentação elabor";"Normam 13/2000 - Normas da Autoridade Marítima para Aquaviários, da Diretoria de Portos e Costas da Marinha Brasileira. ";"Oficiais de convés e afins"
525;"2152";"Trabalham em transporte aquaviário, serviços portuários, atividades de pesca, construção naval e em organizações internacionais. São assalariados, com carteira assinada, trabalham em equipe, sob supervisão permanente, c";"Coordenam e chefiam o funcionamento, a manutenção e o reparo de equipamentos e instalações mecânicas da seção de máquinas, a bordo de um navio; realizam ou dirigem, de um posto situado em terra, os trabalhos de revisão, reparo de equipamentos mecânicos do navio, na sua chegada ao porto.  Acompanham e administram o desempenho de máquinas e gerenciam sistemas de manutenção; conduzem equipamentos; realizam manobras e procedimentos de atracação, desatracação e fundeio do navio; treinam e gerenciam tripulantes da seção de máquinas; coordenam fluxo de informações. Cumprem e fazem cumprir regulamentos, normas e procedimentos técnicos, de segurança, proteção e preservação do meio ambiente e saúde.";"O acesso ao trabalho requer bacharelado em Ciências Náuticas em uma das escolas da Marinha Mercante: Centro de Instrução Almirante Graça Aranha (Ciaga); no Rio de Janeiro e Centro de Instrução Almirante Braz de Aguiar (Ciaba);,";"";"";"Oficiais de máquinas da marinha mercante"
532;"2211";"Trabalham  em hospitais, laboratórios, jardins zoológicos e botânicos, parques e reservas naturais, estações bioecológicas e áreas de  proteção ambiental, herbários, biotérios, criadouros, estações de cu";"Estudam seres vivos, desenvolvem pesquisas na área de biologia, biologia molecular, biotecnologia, biologia ambiental e epidemiologia e inventariam biodiversidade. Organizam coleções biológicas, manejam recursos naturais, desenvolvem atividades de educação ambiental. Realizam diagnósticos biológicos, moleculares e ambientais, além de  realizar análises clínicas, citológicas, citogênicas e patológicas. Podem prestar consultorias e assessorias.";"As ocupações da família  exigem no mínimo o nível superior completo na área. As exigências do mercado valorizam os títulos de pós-graduação lato sensu e stricto sensu.";"";"É comum ocorrerem casos de biólogos que também exercem funções de professor universitário ou pesquisador. Para codificá-los considerar as atividades principais. Norma regulamentadora: lei nº 1.017, de 30 de agosto 1982  - d";"Biólogos e afins"
